Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Location Type
Low Fat,FDE09,Fruits and Vegetables,1998,Tier 1
Low Fat,FDS55,Fruits and Vegetables,1998,Tier 1
Low Fat,FDZ56,Fruits and Vegetables,1998,Tier 1
Low Fat,NCA05,Health and Hygiene,1998,Tier 1
Low Fat,NCK29,Health and Hygiene,1998,Tier 1
Low Fat,NCU29,Health and Hygiene,1998,Tier 1
Low Fat,NCX41,Health and Hygiene,1998,Tier 1
Low Fat,NCG07,Household,1998,Tier 1
Low Fat,NCI30,Household,1998,Tier 1
Low Fat,NCR54,Household,1998,Tier 1
Low Fat,NCT06,Household,1998,Tier 1
Low Fat,FDN15,Meat,1998,Tier 1
Low Fat,FDJ45,Seafood,1998,Tier 1
Regular,FDL13,Breakfast,1998,Tier 1
Regular,FDL02,Canned,1998,Tier 1
Regular,FDF56,Fruits and Vegetables,1998,Tier 1
Regular,FDQ27,Meat,1998,Tier 1
Regular,FDG35,Starchy Foods,1998,Tier 1
reg,FDD38,Canned,1998,Tier 1
reg,FDE41,Frozen Foods,1998,Tier 1
Low Fat,FDP24,Baking Goods,2010,Tier 1
Low Fat,FDH38,Canned,2010,Tier 1
Low Fat,FDT49,Canned,2010,Tier 1
Low Fat,FDN02,Canned,2010,Tier 1
Low Fat,DRF27,Dairy,2010,Tier 1
Low Fat,FDT02,Dairy,2010,Tier 1
Low Fat,FDF05,Frozen Foods,2010,Tier 1
Low Fat,FDI45,Fruits and Vegetables,2010,Tier 1
Low Fat,FDZ20,Fruits and Vegetables,2010,Tier 1
Low Fat,NCC42,Health and Hygiene,2010,Tier 1
Low Fat,NCQ53,Health and Hygiene,2010,Tier 1
Low Fat,NCR54,Household,2010,Tier 1
Low Fat,NCX06,Household,2010,Tier 1
Low Fat,NCO06,Household,2010,Tier 1
Low Fat,NCN54,Household,2010,Tier 1
Low Fat,FDL27,Meat,2010,Tier 1
Low Fat,FDV51,Meat,2010,Tier 1
Low Fat,FDC46,Snack Foods,2010,Tier 1
Low Fat,FDZ58,Snack Foods,2010,Tier 1
Low Fat,FDN21,Snack Foods,2010,Tier 1
Low Fat,FDO58,Snack Foods,2010,Tier 1
Low Fat,DRD24,Soft Drinks,2010,Tier 1
Low Fat,DRI37,Soft Drinks,2010,Tier 1
Regular,FDI12,Baking Goods,2010,Tier 1
Regular,FDP12,Baking Goods,2010,Tier 1
Regular,FDO01,Breakfast,2010,Tier 1
Regular,FDZ37,Canned,2010,Tier 1
Regular,FDJ15,Dairy,2010,Tier 1
Regular,FDM04,Frozen Foods,2010,Tier 1
Regular,FDI40,Frozen Foods,2010,Tier 1
Regular,FDX04,Frozen Foods,2010,Tier 1
Regular,FDS15,Meat,2010,Tier 1
Regular,FDJ57,Seafood,2010,Tier 1
Regular,FDG21,Seafood,2010,Tier 1
Regular,FDW21,Snack Foods,2010,Tier 1
Regular,FDX10,Snack Foods,2010,Tier 1
LF,DRI51,Dairy,2015,Tier 2
LF,NCZ17,Health and Hygiene,2020,Tier 2
LF,DRE25,Soft Drinks,2020,Tier 2
Low Fat,FDT60,Baking Goods,2015,Tier 2
Low Fat,FDN24,Baking Goods,2015,Tier 2
Low Fat,FDO37,Breakfast,2015,Tier 2
Low Fat,FDI14,Canned,2015,Tier 2
Low Fat,FDW37,Canned,2015,Tier 2
Low Fat,DRC27,Dairy,2015,Tier 2
Low Fat,FDK16,Frozen Foods,2015,Tier 2
Low Fat,FDK41,Frozen Foods,2015,Tier 2
Low Fat,FDY31,Fruits and Vegetables,2015,Tier 2
Low Fat,FDT20,Fruits and Vegetables,2015,Tier 2
Low Fat,FDI45,Fruits and Vegetables,2015,Tier 2
Low Fat,FDG57,Fruits and Vegetables,2015,Tier 2
Low Fat,FDN32,Fruits and Vegetables,2015,Tier 2
Low Fat,FDX19,Fruits and Vegetables,2015,Tier 2
Low Fat,FDP20,Fruits and Vegetables,2015,Tier 2
Low Fat,NCR17,Health and Hygiene,2015,Tier 2
Low Fat,NCT17,Health and Hygiene,2015,Tier 2
Low Fat,NCU05,Health and Hygiene,2015,Tier 2
Low Fat,NCT42,Household,2015,Tier 2
Low Fat,NCV18,Household,2015,Tier 2
Low Fat,NCH43,Household,2015,Tier 2
Low Fat,NCE18,Household,2015,Tier 2
Low Fat,NCC18,Household,2015,Tier 2
Low Fat,NCJ42,Household,2015,Tier 2
Low Fat,FDQ10,Snack Foods,2015,Tier 2
Low Fat,FDL34,Snack Foods,2015,Tier 2
Low Fat,DRK37,Soft Drinks,2015,Tier 2
Low Fat,DRF48,Soft Drinks,2015,Tier 2
Low Fat,DRG49,Soft Drinks,2015,Tier 2
Low Fat,FDX60,Baking Goods,2020,Tier 2
Low Fat,FDS13,Canned,2020,Tier 2
Low Fat,FDC50,Canned,2020,Tier 2
Low Fat,FDK51,Dairy,2020,Tier 2
Low Fat,FDD17,Frozen Foods,2020,Tier 2
Low Fat,FDJ28,Frozen Foods,2020,Tier 2
Low Fat,FDP16,Frozen Foods,2020,Tier 2
Low Fat,FDB20,Fruits and Vegetables,2020,Tier 2
Low Fat,FDP56,Fruits and Vegetables,2020,Tier 2
Low Fat,FDT43,Fruits and Vegetables,2020,Tier 2
Low Fat,DRI59,Hard Drinks,2020,Tier 2
Low Fat,DRN47,Hard Drinks,2020,Tier 2
Low Fat,DRM23,Hard Drinks,2020,Tier 2
Low Fat,NCN53,Health and Hygiene,2020,Tier 2
Low Fat,NCT53,Health and Hygiene,2020,Tier 2
Low Fat,NCQ05,Health and Hygiene,2020,Tier 2
Low Fat,NCM53,Health and Hygiene,2020,Tier 2
Low Fat,NCX42,Household,2020,Tier 2
Low Fat,NCT18,Household,2020,Tier 2
Low Fat,NCI30,Household,2020,Tier 2
Low Fat,NCE54,Household,2020,Tier 2
Low Fat,FDH19,Meat,2020,Tier 2
Low Fat,FDT03,Meat,2020,Tier 2
Low Fat,NCN19,Others,2020,Tier 2
Low Fat,NCQ43,Others,2020,Tier 2
Low Fat,FDK09,Snack Foods,2020,Tier 2
Low Fat,FDV46,Snack Foods,2020,Tier 2
Low Fat,FDY46,Snack Foods,2020,Tier 2
Regular,FDK26,Canned,2015,Tier 2
Regular,FDI50,Canned,2015,Tier 2
Regular,FDB26,Canned,2015,Tier 2
Regular,FDY49,Canned,2015,Tier 2
Regular,FDB04,Dairy,2015,Tier 2
Regular,FDA02,Dairy,2015,Tier 2
Regular,FDZ28,Frozen Foods,2015,Tier 2
Regular,FDE17,Frozen Foods,2015,Tier 2
Regular,FDQ19,Fruits and Vegetables,2015,Tier 2
Regular,FDM08,Fruits and Vegetables,2015,Tier 2
Regular,FDP03,Meat,2015,Tier 2
Regular,FDU58,Snack Foods,2015,Tier 2
Regular,FDU46,Snack Foods,2015,Tier 2
Regular,FDY34,Snack Foods,2015,Tier 2
Regular,FDO09,Snack Foods,2015,Tier 2
Regular,FDP48,Baking Goods,2020,Tier 2
Regular,FDI12,Baking Goods,2020,Tier 2
Regular,FDY12,Baking Goods,2020,Tier 2
Regular,FDX48,Baking Goods,2020,Tier 2
Regular,FDV60,Baking Goods,2020,Tier 2
Regular,FDQ47,Breads,2020,Tier 2
Regular,FDZ13,Canned,2020,Tier 2
Regular,FDM04,Frozen Foods,2020,Tier 2
Regular,FDS04,Frozen Foods,2020,Tier 2
Regular,FDV28,Frozen Foods,2020,Tier 2
Regular,FDU19,Fruits and Vegetables,2020,Tier 2
Regular,FDE56,Fruits and Vegetables,2020,Tier 2
Regular,FDI07,Meat,2020,Tier 2
Regular,FDU15,Meat,2020,Tier 2
Regular,FDU27,Meat,2020,Tier 2
Regular,FDN39,Meat,2020,Tier 2
Regular,FDV10,Snack Foods,2020,Tier 2
Regular,FDO45,Snack Foods,2020,Tier 2
Regular,FDB23,Starchy Foods,2020,Tier 2
low fat,NCY41,Health and Hygiene,2020,Tier 2
reg,FDW31,Fruits and Vegetables,2020,Tier 2
reg,FDR55,Fruits and Vegetables,2020,Tier 2
reg,FDX10,Snack Foods,2020,Tier 2
LF,DRF49,Soft Drinks,2017,Tier 2
Low Fat,FDA23,Baking Goods,2017,Tier 2
Low Fat,FDR60,Baking Goods,2017,Tier 2
Low Fat,FDN60,Baking Goods,2017,Tier 2
Low Fat,FDU48,Baking Goods,2017,Tier 2
Low Fat,FDG60,Baking Goods,2017,Tier 2
Low Fat,FDU11,Breads,2017,Tier 2
Low Fat,FDT49,Canned,2017,Tier 2
Low Fat,FDS37,Canned,2017,Tier 2
Low Fat,FDK50,Canned,2017,Tier 2
Low Fat,FDG26,Canned,2017,Tier 2
Low Fat,FDD14,Canned,2017,Tier 2
Low Fat,FDK41,Frozen Foods,2017,Tier 2
Low Fat,FDD16,Frozen Foods,2017,Tier 2
Low Fat,FDZ44,Fruits and Vegetables,2017,Tier 2
Low Fat,FDO44,Fruits and Vegetables,2017,Tier 2
Low Fat,DRL11,Hard Drinks,2017,Tier 2
Low Fat,NCU17,Health and Hygiene,2017,Tier 2
Low Fat,NCL41,Health and Hygiene,2017,Tier 2
Low Fat,NCS53,Health and Hygiene,2017,Tier 2
Low Fat,NCV17,Health and Hygiene,2017,Tier 2
Low Fat,NCO14,Household,2017,Tier 2
Low Fat,NCU18,Household,2017,Tier 2
Low Fat,NCI54,Household,2017,Tier 2
Low Fat,NCQ50,Household,2017,Tier 2
Low Fat,NCC18,Household,2017,Tier 2
Low Fat,NCQ38,Others,2017,Tier 2
Low Fat,FDL10,Snack Foods,2017,Tier 2
Low Fat,FDE34,Snack Foods,2017,Tier 2
Low Fat,FDL46,Snack Foods,2017,Tier 2
Low Fat,FDH10,Snack Foods,2017,Tier 2
Low Fat,DRE60,Soft Drinks,2017,Tier 2
Low Fat,DRD60,Soft Drinks,2017,Tier 2
Regular,FDR36,Baking Goods,2017,Tier 2
Regular,FDL24,Baking Goods,2017,Tier 2
Regular,FDM36,Baking Goods,2017,Tier 2
Regular,FDD26,Canned,2017,Tier 2
Regular,FDI02,Canned,2017,Tier 2
Regular,FDE04,Frozen Foods,2017,Tier 2
Regular,FDQ08,Fruits and Vegetables,2017,Tier 2
Regular,FDV20,Fruits and Vegetables,2017,Tier 2
Regular,FDW03,Meat,2017,Tier 2
Regular,FDX51,Meat,2017,Tier 2
Regular,FDR03,Meat,2017,Tier 2
Regular,FDW21,Snack Foods,2017,Tier 2
Regular,FDJ58,Snack Foods,2017,Tier 2
Low Fat,FDR48,Baking Goods,2011,Tier 3
Low Fat,FDO16,Frozen Foods,2011,Tier 3
Low Fat,FDE53,Frozen Foods,2011,Tier 3
Low Fat,FDV31,Fruits and Vegetables,2011,Tier 3
Low Fat,FDF32,Fruits and Vegetables,2011,Tier 3
Low Fat,DRN35,Hard Drinks,2011,Tier 3
Low Fat,NCQ17,Health and Hygiene,2011,Tier 3
Low Fat,NCQ41,Health and Hygiene,2011,Tier 3
Low Fat,NCN06,Household,2011,Tier 3
Low Fat,NCF30,Household,2011,Tier 3
Low Fat,FDQ39,Meat,2011,Tier 3
Low Fat,FDL45,Snack Foods,2011,Tier 3
Low Fat,FDR10,Snack Foods,2011,Tier 3
Low Fat,FDZ09,Snack Foods,2011,Tier 3
Low Fat,DRJ13,Soft Drinks,2011,Tier 3
Low Fat,DRD24,Soft Drinks,2011,Tier 3
Low Fat,DRH25,Soft Drinks,2011,Tier 3
Regular,FDC60,Baking Goods,2011,Tier 3
Regular,FDJ36,Baking Goods,2011,Tier 3
Regular,FDU47,Breads,2011,Tier 3
Regular,FDA03,Dairy,2011,Tier 3
Regular,FDY40,Frozen Foods,2011,Tier 3
Regular,FDZ16,Frozen Foods,2011,Tier 3
Regular,FDW07,Fruits and Vegetables,2011,Tier 3
Low Fat,FDW23,Baking Goods,2000,Tier 3
Low Fat,FDW59,Breads,2000,Tier 3
Low Fat,DRF27,Dairy,2000,Tier 3
Low Fat,FDB15,Dairy,2000,Tier 3
Low Fat,FDG16,Frozen Foods,2000,Tier 3
Low Fat,FDJ04,Frozen Foods,2000,Tier 3
Low Fat,FDJ32,Fruits and Vegetables,2000,Tier 3
Low Fat,FDM56,Fruits and Vegetables,2000,Tier 3
Low Fat,FDB45,Fruits and Vegetables,2000,Tier 3
Low Fat,DRJ23,Hard Drinks,2000,Tier 3
Low Fat,NCN06,Household,2000,Tier 3
Low Fat,NCF43,Household,2000,Tier 3
Low Fat,NCG07,Household,2000,Tier 3
Low Fat,NCB55,Household,2000,Tier 3
Low Fat,NCN30,Household,2000,Tier 3
Low Fat,FDF22,Snack Foods,2000,Tier 3
Low Fat,FDQ10,Snack Foods,2000,Tier 3
Low Fat,DRK13,Soft Drinks,2000,Tier 3
Low Fat,DRL37,Soft Drinks,2000,Tier 3
Regular,FDL38,Canned,2000,Tier 3
Regular,FDV13,Canned,2000,Tier 3
Regular,FDX04,Frozen Foods,2000,Tier 3
Regular,FDF53,Frozen Foods,2000,Tier 3
Regular,FDD21,Fruits and Vegetables,2000,Tier 3
Regular,FDO20,Fruits and Vegetables,2000,Tier 3
Regular,FDC21,Fruits and Vegetables,2000,Tier 3
Regular,FDV19,Fruits and Vegetables,2000,Tier 3
Regular,FDW43,Fruits and Vegetables,2000,Tier 3
Regular,FDO46,Snack Foods,2000,Tier 3
reg,FDT10,Snack Foods,2000,Tier 3
reg,FDB23,Starchy Foods,2000,Tier 3
Low Fat,FDN60,Baking Goods,2022,Tier 3
Low Fat,FDU23,Breads,2022,Tier 3
Low Fat,FDM13,Breakfast,2022,Tier 3
Low Fat,FDB50,Canned,2022,Tier 3
Low Fat,FDC04,Dairy,2022,Tier 3
Low Fat,DRF03,Dairy,2022,Tier 3
Low Fat,FDG53,Frozen Foods,2022,Tier 3
Low Fat,FDP16,Frozen Foods,2022,Tier 3
Low Fat,FDE08,Fruits and Vegetables,2022,Tier 3
Low Fat,FDQ44,Fruits and Vegetables,2022,Tier 3
Low Fat,DRJ47,Hard Drinks,2022,Tier 3
Low Fat,NCO05,Health and Hygiene,2022,Tier 3
Low Fat,NCB54,Health and Hygiene,2022,Tier 3
Low Fat,NCJ29,Health and Hygiene,2022,Tier 3
Low Fat,NCE06,Household,2022,Tier 3
Low Fat,NCP14,Household,2022,Tier 3
Low Fat,NCH06,Household,2022,Tier 3
Low Fat,NCH55,Household,2022,Tier 3
Low Fat,NCN42,Household,2022,Tier 3
Low Fat,FDM03,Meat,2022,Tier 3
Low Fat,FDK55,Meat,2022,Tier 3
Low Fat,FDU39,Meat,2022,Tier 3
Low Fat,NCO07,Others,2022,Tier 3
Low Fat,FDF22,Snack Foods,2022,Tier 3
Low Fat,FDI46,Snack Foods,2022,Tier 3
Low Fat,FDD22,Snack Foods,2022,Tier 3
Low Fat,FDZ45,Snack Foods,2022,Tier 3
Low Fat,FDT45,Snack Foods,2022,Tier 3
Low Fat,FDL34,Snack Foods,2022,Tier 3
Low Fat,FDA45,Snack Foods,2022,Tier 3
Low Fat,DRI01,Soft Drinks,2022,Tier 3
Low Fat,DRJ13,Soft Drinks,2022,Tier 3
Regular,FDU47,Breads,2022,Tier 3
Regular,FDB02,Canned,2022,Tier 3
Regular,FDM50,Canned,2022,Tier 3
Regular,FDC14,Canned,2022,Tier 3
Regular,FDH50,Canned,2022,Tier 3
Regular,FDD52,Dairy,2022,Tier 3
Regular,FDH04,Frozen Foods,2022,Tier 3
Regular,FDH56,Fruits and Vegetables,2022,Tier 3
Regular,FDX31,Fruits and Vegetables,2022,Tier 3
Regular,FDO51,Meat,2022,Tier 3
Regular,FDV22,Snack Foods,2022,Tier 3
Regular,FDJ21,Snack Foods,2022,Tier 3
Low Fat,FDI14,Canned,1998,Tier 3
Low Fat,FDU25,Canned,1998,Tier 3
Low Fat,FDC53,Frozen Foods,1998,Tier 3
Low Fat,FDD28,Frozen Foods,1998,Tier 3
Low Fat,FDO40,Frozen Foods,1998,Tier 3
Low Fat,FDT40,Frozen Foods,1998,Tier 3
Low Fat,FDD33,Fruits and Vegetables,1998,Tier 3
Low Fat,FDW20,Fruits and Vegetables,1998,Tier 3
Low Fat,DRN47,Hard Drinks,1998,Tier 3
Low Fat,NCY53,Health and Hygiene,1998,Tier 3
Low Fat,NCE19,Household,1998,Tier 3
Low Fat,NCE55,Household,1998,Tier 3
Low Fat,NCG43,Household,1998,Tier 3
Low Fat,NCH06,Household,1998,Tier 3
Low Fat,NCM30,Household,1998,Tier 3
Low Fat,NCN42,Household,1998,Tier 3
Low Fat,NCU42,Household,1998,Tier 3
Low Fat,NCJ19,Others,1998,Tier 3
Low Fat,FDD46,Snack Foods,1998,Tier 3
Low Fat,FDL33,Snack Foods,1998,Tier 3
Low Fat,FDP09,Snack Foods,1998,Tier 3
Low Fat,DRL37,Soft Drinks,1998,Tier 3
Regular,FDE36,Baking Goods,1998,Tier 3
Regular,FDG12,Baking Goods,1998,Tier 3
Regular,FDU24,Baking Goods,1998,Tier 3
Regular,FDK25,Breakfast,1998,Tier 3
Regular,FDB14,Canned,1998,Tier 3
Regular,FDH50,Canned,1998,Tier 3
Regular,FDZ02,Dairy,1998,Tier 3
Regular,FDH05,Frozen Foods,1998,Tier 3
Regular,FDT19,Fruits and Vegetables,1998,Tier 3
Regular,FDW19,Fruits and Vegetables,1998,Tier 3
Regular,FDR51,Meat,1998,Tier 3
Regular,FDY34,Snack Foods,1998,Tier 3
Regular,FDP49,Breakfast,2012,Tier 1
Regular,FDG35,Starchy Foods,2010,Tier 1
Low Fat,FDS52,Frozen Foods,1998,Tier 1
Low Fat,FDR21,Snack Foods,2010,Tier 1
Regular,FDQ36,Baking Goods,2010,Tier 1
Regular,FDE20,Fruits and Vegetables,2010,Tier 1
Regular,FDO20,Fruits and Vegetables,2010,Tier 1
Low Fat,FDZ20,Fruits and Vegetables,2015,Tier 2
Low Fat,FDK38,Canned,2017,Tier 2
Low Fat,NCN53,Health and Hygiene,2011,Tier 3
Regular,FDN04,Frozen Foods,2000,Tier 3
Low Fat,NCP42,Household,2022,Tier 3
reg,FDY11,Baking Goods,2022,Tier 3
Low Fat,FDW28,Frozen Foods,1998,Tier 3
Low Fat,NCL53,Health and Hygiene,1998,Tier 3
Regular,FDW57,Snack Foods,2012,Tier 1
Low Fat,NCN07,Others,2011,Tier 3
Regular,FDP28,Frozen Foods,2011,Tier 3
Regular,FDR52,Frozen Foods,2022,Tier 3
Regular,FDY56,Fruits and Vegetables,2010,Tier 1
Regular,FDR36,Baking Goods,2000,Tier 3
Regular,FDY22,Snack Foods,2020,Tier 2
Low Fat,FDD36,Baking Goods,1998,Tier 3
Low Fat,FDP19,Fruits and Vegetables,2012,Tier 1
Low Fat,FDF20,Fruits and Vegetables,2012,Tier 1
Low Fat,NCB31,Household,2012,Tier 1
Low Fat,DRE12,Soft Drinks,2012,Tier 1
Low Fat,DRK01,Soft Drinks,2012,Tier 1
Regular,FDE20,Fruits and Vegetables,2012,Tier 1
Regular,FDJ34,Snack Foods,2012,Tier 1
LF,FDH41,Frozen Foods,1998,Tier 1
Low Fat,FDQ12,Baking Goods,1998,Tier 1
Low Fat,FDZ27,Dairy,1998,Tier 1
Low Fat,FDI22,Snack Foods,1998,Tier 1
Regular,FDW02,Dairy,1998,Tier 1
Regular,FDR15,Meat,1998,Tier 1
Regular,FDN34,Snack Foods,1998,Tier 1
Low Fat,NCV41,Health and Hygiene,2010,Tier 1
Low Fat,NCM19,Others,2010,Tier 1
Regular,FDP31,Fruits and Vegetables,2010,Tier 1
Regular,FDQ45,Snack Foods,2010,Tier 1
Regular,FDO21,Snack Foods,2010,Tier 1
Low Fat,FDQ24,Baking Goods,2015,Tier 2
Low Fat,FDD14,Canned,2015,Tier 2
Low Fat,NCC54,Health and Hygiene,2015,Tier 2
Low Fat,FDZ40,Frozen Foods,2020,Tier 2
Low Fat,NCM07,Others,2020,Tier 2
Low Fat,NCP50,Others,2020,Tier 2
Low Fat,NCJ31,Others,2020,Tier 2
Low Fat,FDF46,Snack Foods,2020,Tier 2
Regular,FDJ36,Baking Goods,2015,Tier 2
Regular,FDZ13,Canned,2015,Tier 2
Regular,FDZ32,Fruits and Vegetables,2015,Tier 2
Regular,FDY40,Frozen Foods,2020,Tier 2
LF,NCM06,Household,2017,Tier 2
Low Fat,FDK24,Baking Goods,2017,Tier 2
Low Fat,NCL05,Health and Hygiene,2017,Tier 2
Low Fat,NCA29,Household,2017,Tier 2
Low Fat,NCP30,Household,2017,Tier 2
LF,FDX58,Snack Foods,2011,Tier 3
Low Fat,FDW24,Baking Goods,2011,Tier 3
Low Fat,FDH48,Baking Goods,2011,Tier 3
Low Fat,FDF20,Fruits and Vegetables,2011,Tier 3
Low Fat,FDE22,Snack Foods,2011,Tier 3
Low Fat,FDK55,Meat,2000,Tier 3
Regular,FDR11,Breads,2000,Tier 3
Regular,DRC01,Soft Drinks,2000,Tier 3
Regular,FDE11,Starchy Foods,2000,Tier 3
Low Fat,FDW50,Dairy,2022,Tier 3
Low Fat,DRJ39,Dairy,2022,Tier 3
Low Fat,FDJ46,Snack Foods,2022,Tier 3
Low Fat,DRD24,Soft Drinks,2022,Tier 3
Regular,FDR20,Fruits and Vegetables,2022,Tier 3
Regular,FDS33,Snack Foods,2022,Tier 3
Regular,FDK32,Fruits and Vegetables,1998,Tier 3
Regular,FDO03,Meat,1998,Tier 3
Regular,FDC59,Starchy Foods,1998,Tier 3
Low Fat,FDS12,Baking Goods,2020,Tier 2
Low Fat,FDR21,Snack Foods,2017,Tier 2
Low Fat,FDT44,Fruits and Vegetables,2015,Tier 2
Regular,FDZ47,Baking Goods,1998,Tier 3
Low Fat,FDD08,Fruits and Vegetables,2000,Tier 3
Low Fat,FDK02,Canned,2020,Tier 2
LF,FDR39,Meat,2012,Tier 1
Low Fat,DRI03,Dairy,2012,Tier 1
Low Fat,FDJ52,Frozen Foods,2012,Tier 1
Low Fat,NCD42,Health and Hygiene,2012,Tier 1
Regular,FDY35,Breads,2012,Tier 1
Regular,FDL13,Breakfast,2012,Tier 1
Regular,FDD38,Canned,2012,Tier 1
Regular,FDT26,Dairy,2012,Tier 1
Regular,FDE28,Frozen Foods,2012,Tier 1
Regular,FDO46,Snack Foods,2012,Tier 1
Regular,FDP45,Snack Foods,2012,Tier 1
Low Fat,DRH51,Dairy,1998,Tier 1
Low Fat,FDQ10,Snack Foods,1998,Tier 1
Regular,FDH52,Frozen Foods,1998,Tier 1
Regular,FDC10,Snack Foods,1998,Tier 1
LF,FDY27,Dairy,2010,Tier 1
Low Fat,FDY52,Frozen Foods,2010,Tier 1
Low Fat,DRN35,Hard Drinks,2010,Tier 1
Low Fat,DRI47,Hard Drinks,2010,Tier 1
Low Fat,NCT05,Health and Hygiene,2010,Tier 1
Low Fat,NCW17,Health and Hygiene,2010,Tier 1
Low Fat,FDA39,Meat,2010,Tier 1
Regular,FDS25,Canned,2010,Tier 1
Regular,FDC16,Dairy,2010,Tier 1
